step,action,timeMs,hits,misses
initial,stats,0,0,0
first_get,miss,2,0,1
second_get,hit,0,1,1
after_invalidate,invalidated,0,1,1
after_invalidate_get,miss_again,0,1,2
initial,stats,0,0,0
first_get,miss,2,0,1
second_get,hit,0,1,1
after_invalidate,invalidated,0,1,1
after_invalidate_get,miss_again,1,1,2
initial,stats,0,0,0
first_get,miss,4,0,1
second_get,hit,0,1,1
after_invalidate,invalidated,0,1,1
after_invalidate_get,miss_again,5,1,2
initial,stats,0,0,0
first_get,miss,3,0,1
second_get,hit,0,1,1
after_invalidate,invalidated,0,1,1
after_invalidate_get,miss_again,1,1,2
initial,stats,0,0,0
first_get,miss,2,0,1
second_get,hit,0,1,1
after_invalidate,invalidated,0,1,1
after_invalidate_get,miss_again,1,1,2
